playername,elo
CL0UD,1789.8095329749692
Bradley,1789.5729309319338
Naruto,1789.3430552823825
Revolta,1789.2444407300334
Jaeger,1789.2055310262042
Avenger,1789.0415429419247
CRoNiiK,1788.8772633516212
Clear,1788.8426801448002
Jiekou,1788.6141670494208
Xiaguang,1788.6116780807183
Lz,1788.5011969409302
Comp9,1788.4726066652202
Empt2y,1788.3785020478178
Minous,1787.83513241447
Bun,1787.723778736027
Crank,1787.6475044639017
James Bae,1787.543284079237
seaz,1787.542774364562
Reverse,1787.402708469651
Naru,1787.374352059771
Mojito,1787.3710017311948
XinMo,1787.0044856111108
lizheng,1786.9671062211685
geju,1786.8388059375352
Cinkrof,1786.723774877964
Roast,1786.7156363058232
Terror,1786.5193337357657
Sheiden,1786.3389683621658
Melon,1786.3053031660122
Hero,1786.269146321809
Kaiwing,1786.2143255616195
Strive,1786.044795788288
Bolulu,1785.980631562931
Blue,1785.5776506024777
Juliera,1785.570506253349
BaeMe,1785.4847239772305
Keith,1785.376737652473
Duel,1784.8757733986413
Jenkins,1784.424217505352
Light,1784.4099763144184
Ian,1784.3280687298477
Zherathor,1783.998908992269
Cyl,1783.9913998269155
Uncle Darry,1783.9134905557537
Despa1r,1783.7410448232145
Captain,1783.6196145604408
GoDJJ,1783.5998498193237
brTT,1783.5316833821685
Archer,1783.4850845411568
Coten,1783.4622735871176
Brona,1783.411348981227
Brave,1783.2893179263324
Malygos,1783.268563582696
Raphael,1783.2357916966157
Froggen,1783.1774596471269
Rabble,1783.0508266524744
Grell,1782.9880095151318
Zanzarah,1782.9566301980256
CaD,1782.9259386051094
JNX,1782.6583577802116
DuaLL,1782.595769150041
Maxlore,1782.5080384644862
RoseThorn,1782.4140704749136
Bugi,1782.343144730719
chel1y,1782.3288196849287
Ganks,1782.2426757455166
Maplestreet,1782.1638575262746
Yang,1782.0033208505683
Pridestalkr,1781.8366104006882
Crush,1781.818448438113
junimos,1781.6963679248397
lilac,1781.6184759683254
1024,1781.4929659585457
Catch,1781.3174461844371
Mimic,1780.976541913021
Secret,1780.8891531100385
Baca,1780.7820695536452
Bruce,1780.7426162815143
Hustlin,1780.6873985060988
Naz,1780.593473417916
Babip,1780.5681993090657
Viod,1780.5669250868705
